Year,Month,Measure,Value
2015,1,$,29763000000
2015,2,$,31313000000
2015,3,$,37166000000
2015,4,$,32662000000
2015,5,$,33961000000
2015,6,$,33965000000
2015,7,$,35859000000
2015,8,$,33579000000
2015,9,$,33817000000
2015,10,$,34219000000
2015,11,$,35954000000
2015,12,$,35973000000
2016,1,$,31555000000
2016,2,$,33458000000
2016,3,$,33333000000
2016,4,$,33960000000
2016,5,$,35791000000
2016,6,$,34141000000
2016,7,$,33188000000
2016,8,$,31492000000
2016,9,$,32596000000
2016,10,$,34444000000
2016,11,$,33853000000
2016,12,$,35854000000
2017,1,$,32715000000
2017,2,$,32457000000
2017,3,$,36341000000
2017,4,$,36350000000
2017,5,$,39570000000
2017,6,$,37508000000
2017,7,$,37299000000
2017,8,$,33768000000
2017,9,$,34650000000
2017,10,$,39776000000
2017,11,$,41585000000
2017,12,$,42844000000
2018,1,$,36574000000
2018,2,$,35219000000
2018,3,$,38971000000
2018,4,$,39429000000
2018,5,$,42961000000
2018,6,$,40242000000
2018,7,$,43730000000
2018,8,$,37213000000
2018,9,$,39399000000
2018,10,$,43810000000
2018,11,$,42995000000
2018,12,$,42531000000
2019,1,$,38117000000
2019,2,$,38309000000
2019,3,$,42236000000
2019,4,$,43063000000
2019,5,$,45757000000
2019,6,$,39259000000
2019,7,$,42327000000
2019,8,$,38072000000
2019,9,$,39701000000
2019,10,$,44368000000
2019,11,$,45296000000
2019,12,$,43345000000
2020,1,$,39345000000
2020,2,$,37614000000
2020,3,$,43796000000
2020,4,$,38908000000
2020,5,$,40029000000
2020,6,$,40055000000
2020,7,$,39802000000
2020,8,$,36621000000
2020,9,$,36081000000
2020,10,$,40525000000
2020,11,$,42119000000
2020,12,$,43905000000
2021,1,$,36813000000
2021,2,$,36312000000
2021,3,$,46654000000
2021,4,$,42538000000
2021,5,$,46699000000
2021,6,$,48169000000
2021,7,$,48674000000
2021,8,$,42682000000
2021,9,$,43357000000
2021,10,$,48277000000
2021,11,$,51489000000
2021,12,$,27650000000
